,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
0,The Walking Dead-S01E01-Days Gone Bye.English,0.08,0.129,0.3571,0.064,0.0325,0.1139,0.1418,0.2506,0.0835,0.0443,1876.0,0.0107,2.3,A2
1,The Walking Dead-S01E02-Guts.English,0.0875,0.1114,0.2985,0.0682,0.0222,0.0873,0.1537,0.2355,0.0997,0.0346,1759.0,0.0114,2.2,A2
2,The Walking Dead-S01E03-Tell It To The Frogs.English,0.0811,0.1334,0.3069,0.0542,0.0316,0.105,0.1624,0.2295,0.0757,0.0452,2121.0,0.0118,2.1,A2
3,The Walking Dead-S01E04-Vatos.English,0.0802,0.1173,0.3268,0.066,0.0196,0.0951,0.1354,0.2448,0.0859,0.0326,1833.0,0.0147,2.3,A2
4,The Walking Dead-S01E05-Wildfire.English,0.0719,0.1273,0.3297,0.084,0.0261,0.1027,0.1626,0.2553,0.0956,0.0385,1571.0,0.0121,2.5,A2
5,The Walking Dead-S01E06-TS-19.English,0.0734,0.1344,0.2957,0.0626,0.0259,0.086,0.1605,0.2234,0.095,0.0436,1853.0,0.0124,2.4,A2
6,AmericanBeauty1999.BRRip,0.0785,0.1355,0.3657,0.0916,0.0393,0.1061,0.1498,0.2208,0.1097,0.0459,3743.0,0.0075,2.2,B1
7,Angelas.Christmas.Wish.2020,0.0546,0.1596,0.369,0.0477,0.0252,0.0688,0.1599,0.3462,0.0749,0.0142,1466.0,0.0109,1.8,B1
8,Indiana Jones And The Last Crusade DVDRip Xvid -IZON-,0.0856,0.1245,0.2957,0.0633,0.0299,0.1149,0.1491,0.2241,0.0913,0.0407,3541.0,0.0102,2.1,B1
9,mechanic-resurrection_,0.082,0.1388,0.2969,0.0831,0.0439,0.1107,0.1382,0.2434,0.0943,0.0406,1866.0,0.0171,2.9,B1
10,Men.In.Black.1997.720p.Bluray.x264-SEPTiC,0.0956,0.1645,0.2925,0.0933,0.0308,0.1083,0.1507,0.2136,0.1046,0.0432,3118.0,0.0125,2.6,B1
11,Rat.Race.2001.1080p.WEB-DL.DD5.1.H264-FGT,0.069,0.1351,0.3362,0.0735,0.0313,0.0961,0.1432,0.2145,0.0857,0.0451,4664.0,0.0103,1.9,B1
12,Seven.Worlds.One.Planet.S01E01.2160p.BluRay.Remux.eng,0.1173,0.1462,0.2453,0.0809,0.0396,0.1453,0.1495,0.1763,0.0945,0.0508,1211.0,0.0074,3.7,B1
13,Seven.Worlds.One.Planet.S01E02.2160p.BluRay.Remux.eng,0.1171,0.188,0.2513,0.0855,0.035,0.1178,0.1683,0.2132,0.0926,0.0421,1170.0,0.012,3.8,B1
14,Seven.Worlds.One.Planet.S01E03.2160p.BluRay.Remux.eng,0.1085,0.1729,0.2455,0.1109,0.0359,0.1213,0.1512,0.2125,0.1121,0.0469,1226.0,0.0073,3.8,B1
15,Seven.Worlds.One.Planet.S01E04.2160p.BluRay.Remux.eng,0.0909,0.1499,0.267,0.0987,0.0419,0.0961,0.1523,0.2147,0.0911,0.0474,1408.0,0.0114,3.5,B1
16,Seven.Worlds.One.Planet.S01E05.2160p.BluRay.Remux.eng,0.1166,0.1709,0.2387,0.0904,0.0344,0.1326,0.1685,0.1768,0.1008,0.0428,1106.0,0.009,4.0,B1
17,Seven.Worlds.One.Planet.S01E06.2160p.BluRay.Remux.eng,0.1019,0.1451,0.2772,0.0941,0.032,0.119,0.1373,0.2185,0.1036,0.0406,1158.0,0.006,3.7,B1
18,Seven.Worlds.One.Planet.S01E07.2160p.BluRay.Remux.eng,0.1278,0.172,0.2629,0.0835,0.0287,0.1429,0.1704,0.1966,0.1009,0.0406,1221.0,0.0057,3.9,B1
19,SlingShot (2014) WEB.eng,0.0853,0.1567,0.3495,0.1025,0.0301,0.1216,0.166,0.1981,0.1064,0.0467,4887.0,0.0082,2.3,
20,Spirit.Stallion.of.the.Cimarron.EN,0.1009,0.1571,0.3403,0.0791,0.0239,0.1241,0.1663,0.281,0.0913,0.0328,961.0,0.0135,2.4,B1
21,Terminator_2_Judgment_Day_1991_roNy,0.0923,0.1357,0.3146,0.0756,0.021,0.1192,0.1529,0.2329,0.0946,0.0337,2816.0,0.0124,2.3,B1
22,Valentine's.Day.2010.Subtitles.YIFY,0.0603,0.126,0.388,0.075,0.0303,0.0964,0.1395,0.222,0.0932,0.0399,6564.0,0.012,1.7,B1
23,Angela's.Christmas.2018.WEBRip.Netflix,0.0537,0.1097,0.3183,0.0629,0.0644,0.075,0.137,0.2739,0.0788,0.0469,1304.0,0.01,2.2,B2
24,Collateral.Beauty.2016.720p.BRRip.x264.AAC-ETRG,0.0837,0.1243,0.3639,0.0744,0.0408,0.1279,0.1519,0.2326,0.1023,0.0457,3869.0,0.0098,2.0,B2
25,Crazy4TV.com - Suits.S06E01.720p.BluRay.x265.HEVC.Crazy4ad,0.0865,0.1339,0.328,0.0773,0.0409,0.1086,0.1635,0.2518,0.0944,0.0376,2936.0,0.0109,1.9,B2
26,Crazy4TV.com - Suits.S06E02.720p.BluRay.x265.HEVC.Crazy4ad,0.087,0.1284,0.3391,0.0744,0.0333,0.1166,0.1665,0.2725,0.0986,0.035,2943.0,0.0105,1.8,B2
27,Crazy4TV.com - Suits.S06E03.720p.BluRay.x265.HEVC.Crazy4ad,0.0892,0.1147,0.3343,0.0803,0.0417,0.1092,0.1461,0.25,0.0995,0.0519,3261.0,0.0107,2.1,B2
